City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Puerto Ayora,EC,-0.74,-90.35,68.0,93,80,7.0
99,East London,ZA,-33.02,27.91,57.07,57,74,18.99
100,Ribeira Grande,PT,38.52,-28.7,71.6,83,20,11.41
101,Vallenar,CL,-28.57,-70.76,72.05,33,2,3.4
102,Hamilton,US,39.18,-84.53,89.01,40,20,10.29
103,Boende,CD,-0.22,20.87,74.41,85,100,1.01
104,Pokrovsk,UA,48.28,37.18,64.6,66,0,8.34
105,Shingu,JP,33.73,135.98,71.87,91,100,4.99
106,Tarboro,US,35.9,-77.54,89.6,49,40,5.82
107,Halifax,CA,44.65,-63.57,70.0,82,100,9.8
108,Padang,ID,-0.95,100.35,77.22,80,94,4.21
109,Chuy,UY,-33.7,-53.46,45.55,67,24,4.25
110,Puerto Madryn,AR,-42.77,-65.04,44.96,56,0,28.36
111,Amga,RU,60.9,131.96,65.77,77,43,2.86
112,Faanui,PF,-16.48,-151.75,78.22,76,30,18.39
113,Codrington,AU,-38.27,141.97,44.08,94,23,3.71
114,Nancha,CN,47.13,129.27,64.67,85,3,1.45
115,Santa Maria,BR,-29.68,-53.81,60.8,82,100,8.05
116,Busselton,AU,-33.65,115.33,44.01,76,0,15.23
117,Yangambi,CD,0.81,24.43,72.48,92,80,0.98
118,Pindwara,IN,24.8,73.07,79.77,83,100,13.09
119,Victoria,HK,22.29,114.16,84.0,74,60,8.01
120,Kitimat,CA,54.05,-128.65,57.2,76,75,19.46
121,Orlik,RU,52.52,99.83,52.2,84,100,0.25
122,Washington,US,47.5,-120.5,88.0,27,71,1.01
123,Tutoia,BR,-2.76,-42.27,79.41,82,33,8.57
124,Bosaso,SO,11.28,49.18,93.99,41,92,17.02
125,Mayo,US,38.89,-76.51,90.0,46,75,3.36
126,Datong,CN,40.09,113.29,68.11,69,100,2.3
127,Pisco,PE,-13.7,-76.22,64.0,77,40,9.17
128,Rangpo,IN,27.18,88.53,76.44,78,100,1.28
129,Vao,NC,-22.67,167.48,69.85,73,57,19.53
130,Agde,FR,43.31,3.48,75.0,46,0,4.7
131,Saskylakh,RU,71.92,114.08,66.27,78,40,11.05
132,Mecca,SA,21.43,39.83,86.95,15,0,5.37
133,Henties Bay,NA,-22.12,14.28,55.0,83,0,1.01
134,Qaqortoq,GL,60.72,-46.03,55.4,76,32,9.17
135,Waldshut-Tiengen,DE,47.62,8.22,59.0,82,24,5.82
136,Thinadhoo,MV,0.53,72.93,84.06,75,1,10.04
